,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
287,NGC3287,158.69697986,21.64834441,10.0,34.0,47.27516640000488,1.0,26.0,35.60265840000085,158.0,41.0,49.12749599999643,21.0,38.0,54.039875999999936
288,NGC3288,159.10699345,58.55619011,10.0,36.0,25.67842800001131,3.0,54.0,13.485626400003667,159.0,6.0,25.17642000001615,58.0,33.0,22.284396000010247
289,NGC3289,158.53091294,-35.32333712,10.0,34.0,7.419105600007327,-2.0,-21.0,-17.600908800000568,158.0,31.0,51.28658400002678,-35.0,-19.0,-24.013631999992526
290,NGC3290,158.82261667,-17.27678056,10.0,35.0,17.42800080000606,-1.0,-9.0,-6.427334400000362,158.0,49.0,21.420012000007773,-17.0,-16.0,-36.410015999995835
291,NGC3291,159.027009,37.274411,10.0,36.0,6.482160000002466,2.0,29.0,5.858640000001216,159.0,1.0,37.23239999997304,37.0,16.0,27.879600000002256
292,NGC3292,158.89350064,-6.17959259,10.0,35.0,34.440153600013446,-0.0,-24.0,-43.10222160000052,158.0,53.0,36.60230400004821,-6.0,-10.0,-46.533324000001386
293,NGC3293,158.955,-58.23,10.0,35.0,49.2000000000111,-3.0,-52.0,-55.20000000000181,158.0,57.0,18.00000000004502,-58.0,-13.0,-47.999999999988745
294,NGC3294,159.06772712,37.32472867,10.0,36.0,16.254508800007414,2.0,29.0,17.934880800001025,159.0,4.0,3.8176320000025044,37.0,19.0,29.023211999996192
295,NGC3295,158.188627,-12.636251,10.0,32.0,45.270480000007325,-0.0,-50.0,-32.70024000000035,158.0,11.0,19.05719999998837,-12.0,-38.0,-10.50359999999884
296,NGC3296,158.18919583,-12.71718056,10.0,32.0,45.40699920000321,-0.0,-50.0,-52.12333440000023,158.0,11.0,21.104987999958666,-12.0,-43.0,-1.8500159999970833
297,NGC3297,158.29899289,-12.67176116,10.0,33.0,11.758293600008756,-0.0,-50.0,-41.22267840000106,158.0,17.0,56.37440399997786,-12.0,-40.0,-18.340176000003083
298,NGC3298,159.30095,50.12064444,10.0,37.0,12.228000000009871,3.0,20.0,28.95466560000159,159.0,18.0,3.4200000000009823,50.0,7.0,14.319983999998271
299,NGC3299,159.099421,12.707527,10.0,36.0,23.861040000009268,0.0,50.0,49.80648000000102,159.0,5.0,57.915600000023915,12.0,42.0,27.09720000000246
300,NGC3300,159.16014167,14.17154167,10.0,36.0,38.43400080000677,0.0,56.0,41.170000800000395,159.0,9.0,36.510012000005645,14.0,10.0,17.550011999999526
301,NGC3301,159.23345833,21.88216667,10.0,36.0,56.02999920000201,1.0,27.0,31.720000800000676,159.0,14.0,0.4499879999661971,21.0,52.0,55.80001200000055
302,NGC3302,158.94757083,-32.35854444,10.0,35.0,47.41699920000215,-2.0,-9.0,-26.05066560000239,158.0,56.0,51.25498799996194,-32.0,-21.0,-30.759984000010263
303,NGC3303,159.25037917,18.13578056,10.0,37.0,0.09100080001076094,1.0,12.0,32.587334400000785,159.0,15.0,1.3650120000079369,18.0,8.0,8.810016000002179
304,NGC3304,159.407775,37.45568611,10.0,37.0,37.86600000000277,2.0,29.0,49.36466640000134,159.0,24.0,27.989999999952033,37.0,27.0,20.469996000007313
305,NGC3305,159.0493,-27.16221667,10.0,36.0,11.832000000002694,-1.0,-48.0,-38.932000800001134,159.0,2.0,57.47999999995727,-27.0,-9.0,-43.98001199999783
306,NGC3306,159.29259472,12.6525991,10.0,37.0,10.2227328000086,0.0,50.0,36.62378400000037,159.0,17.0,33.34099200003948,12.0,39.0,9.356759999999156
307,NGC3307,159.07155525,-27.52968685,10.0,36.0,17.17326000000284,-1.0,-50.0,-7.124844000001076,159.0,4.0,17.598899999959485,-27.0,-31.0,-46.87266000000335
308,NGC3308,159.09321667,-27.43811111,10.0,36.0,22.37200080000946,-1.0,-49.0,-45.14666640000158,159.0,5.0,35.580012000013994,-27.0,-26.0,-17.19999600000449
309,NGC3309,159.14854583,-27.51843056,10.0,36.0,35.65099920000719,-1.0,-50.0,-4.423334400000982,159.0,8.0,54.764987999960795,-27.0,-31.0,-6.3500159999955486
310,NGC3310,159.69107083,53.50330278,10.0,38.0,45.85699920001048,3.0,34.0,0.7926672000021995,159.0,41.0,27.854988000003686,53.0,30.0,11.890007999994623
311,NGC3311,159.17842083,-27.52833889,10.0,36.0,42.8209992000086,-1.0,-50.0,-6.801333600000987,159.0,10.0,42.31498799997553,-27.0,-31.0,-42.02000400000202
312,NGC3312,159.26062083,-27.56504722,10.0,37.0,2.54899920000355,-1.0,-50.0,-15.61133280000135,159.0,15.0,38.23498799997651,-27.0,-33.0,-54.16999200000106
313,NGC3313,159.35600417,-25.31948611,10.0,37.0,25.44100080000817,-1.0,-41.0,-16.67666640000121,159.0,21.0,21.615012000020215,-25.0,-19.0,-10.149995999998964
314,NGC3314,159.30383889,-27.68397401,10.0,37.0,12.92133360000804,-1.0,-50.0,-44.15376240000171,159.0,18.0,13.820004000031076,-27.0,-41.0,-2.306436000000076
315,NGC3315,159.32875,-27.19138889,10.0,37.0,18.900000000008816,-1.0,-48.0,-45.93333360000145,159.0,19.0,43.50000000004911,-27.0,-11.0,-29.000003999996125
316,NGC3316,159.4054898,-27.59412358,10.0,37.0,37.317552000008476,-1.0,-50.0,-22.589659200002075,159.0,24.0,19.763279999992847,-27.0,-35.0,-38.84488800000554
317,NGC3317,159.429634,-27.51962,10.0,37.0,43.11216000000641,-1.0,-50.0,-4.708800000000792,159.0,25.0,46.68239999997468,-27.0,-31.0,-10.631999999999096
318,NGC3318,159.31460817,-41.62747946,10.0,37.0,15.505960800009717,-2.0,-46.0,-30.595070400003408,159.0,18.0,52.58941200004983,-41.0,-37.0,-38.92605600001275
319,NGC3319,159.78972083,41.68687222,10.0,39.0,9.53299920000731,2.0,46.0,44.84933280000121,159.0,47.0,22.994987999975365,41.0,41.0,12.739991999992526
320,NGC3320,159.902175,47.39796389,10.0,39.0,36.52200000000633,3.0,9.0,35.51133360000293,159.0,54.0,7.829999999999018,47.0,23.0,52.67000399999915
321,NGC3321,159.71063333,-11.6489,10.0,38.0,50.55199920000646,-0.0,-46.0,-35.736000000000274,159.0,42.0,38.279988000026606,-11.0,-38.0,-56.03999999999772
322,NGC3322,159.71063333,-11.6489,10.0,38.0,50.55199920000646,-0.0,-46.0,-35.736000000000274,159.0,42.0,38.279988000026606,-11.0,-38.0,-56.03999999999772
323,NGC3323,159.91262406,25.32282754,10.0,39.0,39.02977440001209,1.0,41.0,17.478609600000965,159.0,54.0,45.446616000047015,25.0,19.0,22.17914399999529
324,NGC3324,159.33333333,-58.64166667,10.0,37.0,19.999999200004765,-3.0,-54.0,-34.00000080000197,159.0,19.0,59.999987999956375,-58.0,-38.0,-30.000011999997582
325,NGC3325,159.83525,-0.20028611,10.0,39.0,20.460000000009018,-0.0,-0.0,-48.068666400000005,159.0,50.0,6.900000000007367,-0.0,-12.0,-1.0299959999999686
326,NGC3326,159.88274586,5.10759039,10.0,39.0,31.859006400004688,0.0,20.0,25.8216936000003,159.0,52.0,57.885095999999976,5.0,6.0,27.325404000001328
327,NGC3327,159.99138483,24.091228,10.0,39.0,57.93235920000285,1.0,36.0,21.894720000001087,159.0,59.0,28.98538799995322,24.0,5.0,28.42080000000351
328,NGC3328,159.976045,9.300105,10.0,39.0,54.250800000009605,0.0,37.0,12.025200000000495,159.0,58.0,33.76199999999699,9.0,18.0,0.3780000000010375
329,NGC3329,161.164032,76.80951874,10.0,44.0,39.36768000000782,5.0,7.0,14.28449760000376,161.0,9.0,50.515199999970264,76.0,48.0,34.26746400000525
330,NGC3330,159.7,-54.11666667,10.0,38.0,48.0000000000058,-3.0,-36.0,-28.000000800003164,159.0,41.0,59.99999999995907,-54.0,-7.0,-1.2000002698187018e-05
331,NGC3331,160.0371875,-23.82035,10.0,40.0,8.925000000006378,-1.0,-35.0,-16.884000000001578,160.0,2.0,13.87499999995498,-23.0,-49.0,-13.260000000004482
332,NGC3332,160.118213,9.182553,10.0,40.0,28.37112000000701,0.0,36.0,43.812720000000525,160.0,7.0,5.566799999990053,9.0,10.0,57.190800000001474
333,NGC3333,159.95756667,-36.03617778,10.0,39.0,49.81600080001115,-2.0,-24.0,-8.682667200002356,159.0,57.0,27.240012000020215,-36.0,-2.0,-10.240008000009766
334,NGC3334,160.37999195,37.31287563,10.0,41.0,31.198068000007027,2.0,29.0,15.090151200002069,160.0,22.0,47.97102000001587,37.0,18.0,46.352268000002255
335,NGC3335,159.89195284,-23.92269077,10.0,39.0,34.06868160000428,-1.0,-35.0,-41.44578480000064,159.0,53.0,31.030223999955524,-23.0,-55.0,-21.68677199999678
336,NGC3336,160.07084501,-27.77701757,10.0,40.0,17.00280240000538,-1.0,-51.0,-6.48421680000169,160.0,4.0,15.042035999997552,-27.0,-46.0,-37.26325200000616
337,NGC3337,160.44816667,4.98836389,10.0,41.0,47.56000080000874,0.0,19.0,57.20733360000011,160.0,26.0,53.40001200002234,4.0,59.0,18.110003999998696
338,NGC3338,160.53140272,13.74699226,10.0,42.0,7.536652800004902,0.0,54.0,59.27814240000103,160.0,31.0,53.049791999958416,13.0,44.0,49.172136000002666
339,NGC3339,160.57490417,-0.37681111,10.0,42.0,17.977000800009364,-0.0,-1.0,-30.434666400000015,160.0,34.0,29.655011999986982,-0.0,-22.0,-36.51999599999996
340,NGC3340,160.57490417,-0.37681111,10.0,42.0,17.977000800009364,-0.0,-1.0,-30.434666400000015,160.0,34.0,29.655011999986982,-0.0,-22.0,-36.51999599999996
341,NGC3341,160.63116667,5.04394722,10.0,42.0,31.480000800008696,0.0,20.0,10.547332800000149,160.0,37.0,52.20001199999615,5.0,2.0,38.20999199999903
342,NGC3342,160.118221,9.182552,10.0,40.0,28.373040000006,0.0,36.0,43.81248000000028,160.0,7.0,5.595600000019658,9.0,10.0,57.18719999999777
343,NGC3343,161.54302917,73.35300278,10.0,46.0,10.327000800010353,4.0,53.0,24.720667200001003,161.0,32.0,34.90501200004019,73.0,21.0,10.810007999989466
344,NGC3344,160.87979167,24.92221944,10.0,43.0,31.15000080000712,1.0,39.0,41.33266560000109,160.0,52.0,47.250012000010884,24.0,55.0,19.989983999997207
